State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
Tennessee,Washington,76,126437,29936,23.7,394
Tennessee,Wayne,0,16713,4139,24.8,null
Tennessee,Weakley,6,33776,8009,23.7,1335
Tennessee,White,4,26394,7108,26.9,1777
Tennessee,Williamson,28,212161,37356,17.6,1334
Tennessee,Wilson,12,128874,27113,21,2259
Texas,Anderson,10,57747,11434,19.8,1143
Texas,Andrews,0,17577,2585,14.7,null
Texas,Angelina,29,87700,18271,20.8,630
Texas,Aransas,0,24832,8314,33.5,null
Texas,Archer,0,8793,2350,26.7,null
Texas,Armstrong,0,1929,516,26.7,null
Texas,Atascosa,6,48139,9558,19.9,1593
Texas,Austin,0,29292,7305,24.9,null
Texas,Bailey,0,7098,1519,21.4,null
Texas,Bandera,0,21316,7519,35.3,null
Texas,Bastrop,0,80306,16787,20.9,null
Texas,Baylor,27,3602,1088,30.2,40
Texas,Bee,8,32729,5168,15.8,646
Texas,Bell,90,336506,47766,14.2,531
Texas,Bexar,648,1892004,307269,16.2,474
Texas,Blanco,0,11089,3806,34.3,null
Texas,Borden,0,602,171,28.4,null
Texas,Bosque,0,17955,5546,30.9,null
Texas,Bowie,82,93635,20099,21.5,245
Texas,Brazoria,16,345995,57101,16.5,3569
Texas,Brazos,48,214231,26525,12.4,553
Texas,Brewster,3,9220,2537,27.5,846
Texas,Briscoe,0,1591,477,30,null
Texas,Brooks,0,7251,1388,19.1,null
Texas,Brown,12,37787,9428,25,786
Texas,Burleson,0,17596,4934,28,null
Texas,Burnet,12,45017,12977,28.8,1081
Texas,Caldwell,0,40544,7589,18.7,null
Texas,Calhoun,6,21821,4869,22.3,812
Texas,Callahan,0,13660,3649,26.7,null
Texas,Cameron,104,420201,71392,17,686
Texas,Camp,0,12670,3038,24,null
Texas,Carson,0,6033,1413,23.4,null
Texas,Cass,0,30118,8380,27.8,null
Texas,Castro,0,7891,1688,21.4,null
Texas,Chambers,0,39283,6340,16.1,null
Texas,Cherokee,0,51594,11992,23.2,null
Texas,Childress,0,7064,1464,20.7,null
Texas,Clay,0,10369,3112,30,null
Texas,Cochran,0,2932,583,19.9,null
Texas,Coke,0,3238,1085,33.5,null
Texas,Coleman,0,8422,2576,30.6,null
Texas,Collin,195,914075,135322,14.8,694
Texas,Collingsworth,0,3026,771,25.5,null
Texas,Colorado,4,20913,6209,29.7,1552
Texas,Comal,12,129100,32206,24.9,2684
Texas,Comanche,0,13492,4297,31.8,null
Texas,Concho,0,3858,883,22.9,null
Texas,Cooke,5,39064,9693,24.8,1939
Texas,Coryell,4,75818,9667,12.8,2417
Texas,Cottle,0,1498,465,31,null
Texas,Crane,0,4836,798,16.5,null
Texas,Crockett,0,3836,907,23.6,null
Texas,Crosby,0,5895,1379,23.4,null
Texas,Culberson,0,2257,586,26,null
Texas,Dallam,0,7207,1139,15.8,null
Texas,Dallas,614,2552213,377154,14.8,614
Texas,Dawson,0,13095,2510,19.2,null
Texas,Deaf Smith,0,18947,3234,17.1,null
Texas,Delta,0,5172,1497,28.9,null
Texas,Denton,81,781321,106598,13.6,1316
Texas,DeWitt,0,20474,5292,25.8,null
Texas,Dickens,0,2224,661,29.7,null
Texas,Dimmit,0,10822,2302,21.3,null
Texas,Donley,0,3433,1073,31.3,null
Texas,Duval,0,11434,2513,22,null
Texas,Eastland,0,18278,5417,29.6,null
Texas,Ector,50,155744,21622,13.9,432
Texas,Edwards,0,2111,758,35.9,null
Texas,Ellis,18,164092,29137,17.8,1619
Texas,El Paso,203,834825,133011,15.9,655
Texas,Erath,5,41016,7785,19,1557
Texas,Falls,0,17289,4004,23.2,null
Texas,Fannin,2,33787,8521,25.2,4261
Texas,Fayette,0,24963,7816,31.3,null
Texas,Fisher,0,3875,1176,30.3,null
Texas,Floyd,0,5953,1439,24.2,null
Texas,Foard,0,1414,454,32.1,null
Texas,Fort Bend,128,711421,107897,15.2,843
Texas,Franklin,0,10639,2950,27.7,null
Texas,Freestone,0,19646,5012,25.5,null
Texas,Frio,0,19110,3334,17.4,null
Texas,Gaines,0,19889,2513,12.6,null
Texas,Galveston,26,321184,62311,19.4,2397
Texas,Garza,0,6739,1035,15.4,null
Texas,Gillespie,10,25939,9675,37.3,968
Texas,Glasscock,0,1420,324,22.8,null
Texas,Goliad,0,7510,2153,28.7,null
Texas,Gonzales,0,20558,4490,21.8,null
Texas,Gray,8,22962,4745,20.7,593
Texas,Grayson,62,126146,29807,23.6,481
Texas,Gregg,66,123402,24309,19.7,368
Texas,Grimes,0,27358,6472,23.7,null
Texas,Guadalupe,9,150889,27355,18.1,3039
Texas,Hale,5,34527,6124,17.7,1225
Texas,Hall,0,3102,955,30.8,null
Texas,Hamilton,0,8220,2691,32.7,null
Texas,Hansford,0,5532,1099,19.9,null
Texas,Hardeman,0,3990,1077,27,null
Texas,Hardin,0,55993,12351,22.1,null
Texas,Harris,918,4525519,651673,14.4,710
Texas,Harrison,0,66606,14535,21.8,null
Texas,Hartley,0,5821,1074,18.5,null
Texas,Haskell,0,5806,1740,30,null
Texas,Hays,42,194843,29297,15,698
Texas,Hemphill,0,4152,734,17.7,null
Texas,Henderson,10,79687,22345,28,2235
Texas,Hidalgo,271,839539,119536,14.2,441
Texas,Hill,5,35098,9352,26.6,1870
Texas,Hockley,0,23273,4565,19.6,null
Texas,Hood,12,55418,17518,31.6,1460
Texas,Hopkins,10,35929,8258,23,826
Texas,Houston,0,22849,6319,27.7,null
Texas,Howard,8,36491,6475,17.7,809
Texas,Hudspeth,0,3702,822,22.2,null
Texas,Hunt,23,90322,19359,21.4,842
Texas,Hutchinson,4,21704,4709,21.7,1177
Texas,Irion,0,1592,422,26.5,null
